X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3843821529 0.2099770623 0.3022673136 0.3876121716 0.3227065419 0.3955993634 0.3589478672 0.4046629297 0.3489964289 0.3379605745 0.3592005978 0.3963714597 0.3501393187 0.3271797012 0.4187092205 0.3873145646 0.3544982805 0.3802798778 0.3581125494 0.3784624692 0.3420319096 0.3486715682 0.3639815845 0.3840559492 0.3963240272 0.3483732644 0.3698642258 0.4071865365 0.379563608 0.3876573638 0.3603308575 0.4172994944 0.2980551907 0.3634382545 0.3782817194 0.3987845171 0.3417225638 0.3565281475 0.3976107479 0.3201561173 0.4128562081 0.3790316508 0.4062497896 0.3938548957 0.3523386071 0.2622870922 0.3322603763 0.3835339735 0.3871176801 0.3959559252
0.4410991291 0.2886034817 0.393076011 0.4278110919 0.400701793 0.4331731255 0.4240154501 0.4698753287 0.389545683 0.411297154 0.3989330565 0.4478182399 0.4130105077 0.3809048917 0.4475114026 0.4199610953 0.4147736456 0.4200657879 0.4018029897 0.4453792892 0.3917654661 0.4146486569 0.4286256018 0.4181961167 0.4359727234 0.3859633027 0.4031997509 0.4399221729 0.4224238631 0.4319580068 0.4432612616 0.4354617756 0.4016102906 0.4459475052 0.4288584085 0.4320920929 0.4175615494 0.4067665714 0.4375478075 0.3820700938 0.4416852106 0.402921482 0.4214218008 0.4416461891 0.4160270921 0.2723875768 0.417213524 0.4144441943 0.4038298397 0.4319261379
0.4484497239 0.342643573 0.4171837502 0.4529651468 0.4216183483 0.4495559239 0.4560534708 0.475770485 0.4169386988 0.4248160787 0.418593409 0.4586967196 0.4330503842 0.3963872299 0.4640289434 0.4324920743 0.4411576268 0.4404715515 0.4113881363 0.4615182915 0.4055835193 0.4336800982 0.4461267651 0.4303450402 0.4448722444 0.4126200808 0.4351752727 0.4478589323 0.4427263783 0.4459695892 0.4499059095 0.4467581819 0.4203409617 0.4671303834 0.4400659113 0.4488961874 0.4353839561 0.4225856035 0.4479238205 0.4144856775 0.4521257677 0.424557532 0.4429132027 0.4485904331 0.431751654 0.3035360132 0.4366575353 0.431472765 0.4156853854 0.4445957604
0.4643819048 0.3853120248 0.4242623848 0.4627467853 0.4244462004 0.4568569713 0.4661913089 0.4804778369 0.4359226766 0.4343908429 0.433720486 0.4665279289 0.4530414074 0.4135695532 0.4707521656 0.4417599995 0.4535128542 0.4621306322 0.4220255946 0.469906596 0.4145706667 0.4422499822 0.4577298182 0.4396893605 0.4598482739 0.4422627709 0.4428560383 0.4539409065 0.4488866094 0.4557187432 0.4537242842 0.4550641829 0.4338889694 0.4757574052 0.4463566587 0.4518654686 0.4563436774 0.436230031 0.4544852682 0.4269675914 0.458706646 0.4395810614 0.4543478018 0.4553297367 0.4488469385 0.3150720626 0.4468856779 0.443263516 0.4292737172 0.4481200451
0.4670890904 0.4038388785 0.434618075 0.4689473911 0.4324825816 0.4637704896 0.4690637186 0.4823075251 0.4507103602 0.4454714407 0.4401692245 0.4694876585 0.4607228739 0.4306021343 0.4722292262 0.4578598641 0.4638803458 0.472656347 0.437803481 0.4751486729 0.421050841 0.4538852864 0.4596475259 0.4467980471 0.4651561584 0.4535878161 0.4449222738 0.4595860958 0.4553021033 0.4572212442 0.4597449855 0.461374291 0.4387462099 0.4801625011 0.4512688076 0.4572771814 0.4615595324 0.4433458919 0.4587746152 0.4329797403 0.4705612103 0.4503369102 0.4582951891 0.459201648 0.4548810975 0.3282089156 0.4528784861 0.448936023 0.4451559556 0.4553082252
0.4751057238 0.4071135697 0.4455663841 0.4736960551 0.4339013008 0.4691738167 0.4738034088 0.4848611504 0.4590785517 0.45354863 0.4555585593 0.4734124583 0.4662360467 0.4362825486 0.4760476708 0.4618134259 0.4657822934 0.4774201777 0.4448678993 0.4804951565 0.4306817406 0.4660038761 0.4620913481 0.449995593 0.4673517487 0.4638878363 0.449514066 0.4612244054 0.4618125317 0.4640888304 0.4637573701 0.4667589853 0.4432539342 0.4814142802 0.4535961 0.4595344456 0.463675639 0.4528007667 0.4630326451 0.4401350726 0.4774829731 0.4576423308 0.4669081861 0.4617706844 0.4599894398 0.3392094439 0.4601815664 0.4563415267 0.4504253211 0.4600433759
0.4763935382 0.4157756848 0.4472500702 0.4801796295 0.4363808692 0.4703110374 0.4758650212 0.4873352809 0.4642086104 0.4566957486 0.4623245427 0.4742965157 0.4696702588 0.4433073178 0.4768602242 0.4639914597 0.4692333824 0.4810857356 0.4507041942 0.4824956454 0.4331568079 0.4672410361 0.4633898866 0.4515143682 0.4738695097 0.4703144604 0.4517749227 0.4618809287 0.4638048615 0.4656707741 0.465148583 0.4737207327 0.4445458562 0.4855786904 0.457107863 0.4628496615 0.4699007408 0.4553506011 0.4659514123 0.4436091915 0.4798414394 0.4622642508 0.4689456688 0.4644768277 0.4632422823 0.3488803454 0.4635288958 0.4598587467 0.4649821196 0.467578746
0.4806834656 0.4393186824 0.4501854302 0.4825982797 0.4377709107 0.4706178739 0.4791771569 0.4877887148 0.4664740418 0.4574686331 0.4658406194 0.4760092188 0.4717597394 0.4532636011 0.4779594941 0.4655139067 0.4709660072 0.4830899674 0.4550344501 0.4842955078 0.4337543476 0.4699642467 0.4641117816 0.4573720621 0.4777819284 0.4734793262 0.4527223939 0.463064215 0.4679774238 0.4664967466 0.4661209455 0.4754779784 0.4459811328 0.4880159767 0.4620142415 0.4635732969 0.4717509472 0.4554923198 0.4673110776 0.4447343114 0.4801718148 0.4699165454 0.4703353799 0.4711112832 0.4732571117 0.3637155152 0.4678008616 0.4673260845 0.4690154222 0.4695297681
0.482449898 0.4397090316 0.4548191867 0.4833375834 0.4415755816 0.4758136069 0.4803319733 0.4878749594 0.4676746447 0.4580300262 0.466950491 0.4769477644 0.4736156827 0.4610388801 0.4798637389 0.4663562163 0.4711893891 0.4848375931 0.459613334 0.4847188898 0.4344036799 0.4723028608 0.4653378403 0.4610343027 0.4814427622 0.4743062415 0.4545430873 0.4644851297 0.4683407286 0.4703185091 0.4670224173 0.4772855936 0.448273729 0.4881593423 0.464208887 0.4640669082 0.472799783 0.4639320696 0.4686075884 0.4478732322 0.4820453287 0.4710620643 0.4705076101 0.4716357316 0.4769160692 0.3731018828 0.4700156436 0.47147945 0.4701318651 0.4714468225
