X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.219900054 0.2906002186 0.1003345127 0.1781136571 0.0628488485 0.029415934 0.2300674713 0.3136578304 0.1049516255 0.2371112522 0.3639679283 0.0659031676 0.356421388 0.2372873836 0 0.2255974298 0.2734342792 0.0536433672 0.3334723481 0.2318366124 0.2604685135 0.3545677392 0.0623610265 0.0162336662 0.1732006461 0.2390208712 0.3659289363 0.3877059042 0.3245833832 0.2617339969 0.1916970305 0.3848169979 0.2453461844 0.2029003773 0.2128607055 0 0.120150778 0.147877618 0.2066919741 0 0.309032836 0.292376487 0.1854108271 0.2226552782 0.3671566717 0.2361172865 0.3526419543 0 0.2566166229 0.2708553289
0.2533814852 0.2925180291 0.0857078063 0.1747690716 0.0273774375 0.0297861096 0.2546049496 0.2495951689 0.1859091664 0.1828420149 0.4457699321 0.1614536371 0.4441458757 0.2691088308 0.2723548504 0.1764547418 0.3452584538 0.0651469234 0.349421645 0.2255093574 0.3464180536 0.360182086 0.081502462 0.0163227477 0.3073034594 0.268531344 0.4128949883 0.4249433996 0.3585882556 0.2846389538 0.2697534504 0.3613747972 0.1499466695 0.29630527 0.2834267263 0 0.186723299 0.2128371526 0.157070644 0 0.3924156724 0.3219449146 0.2177645554 0.2403099711 0.4123351412 0.2813907357 0.3744083048 0.1594791125 0.30285005 0.3268416025
0.3480973918 0.3319746366 0.226286283 0.1790079142 0.02585889 0.0311744216 0.2365187931 0.2701090647 0.2154781128 0.200334786 0.4508556051 0.1616162982 0.4539736572 0.2894239075 0.3395897549 0.1908952413 0.3814724532 0.0657175364 0.3478583076 0.2359786975 0.3552990454 0.3505134469 0.0830902047 0.0230607285 0.3527084958 0.2854837994 0.4262031884 0.4382728541 0.3590491121 0.3915268219 0.3176230861 0.3666154687 0.1549121364 0.3404548008 0.2550745995 0 0.2772061913 0.2261821395 0.1670636547 0 0.4086835272 0.3295730462 0.3206395622 0.2686601715 0.4020597643 0.2685682871 0.3874991435 0.1662254207 0.3405383697 0.3349396751
0.3753538662 0.3313640958 0.2384738447 0.1973325374 0.0159291267 0.0355857829 0.2297254011 0.2725834354 0.2128864541 0.2073450974 0.4524836789 0.1616162982 0.4580256299 0.291287195 0.3443053787 0.209860614 0.3806124126 0.1026844003 0.3490337413 0.236039388 0.3745036923 0.366625061 0.0840672557 0.0305238263 0.3876058709 0.2715030921 0.4274021487 0.4451032381 0.3740797523 0.3914545492 0.3303876042 0.395420808 0.1549515252 0.3423142401 0.2608896381 0 0.3008859282 0.2670226991 0.1561447361 0 0.4319284048 0.3358158565 0.3312245213 0.2804071447 0.3983701262 0.2771172526 0.4029281908 0.1831546538 0.3555611901 0.2865249941
0.3807107786 0.3457055231 0.2399635989 0.2240693772 0.0235995343 0.0356631385 0.2275959326 0.2723425116 0.2570717248 0.2072533678 0.4592942452 0.1616354177 0.4615077271 0.3006800788 0.3730458117 0.209860614 0.4039457911 0.1029324654 0.3728714195 0.258504219 0.3953274836 0.3713930589 0.0871524797 0.0425081351 0.390635657 0.2959210974 0.4318481195 0.4529635841 0.3761129342 0.3269408989 0.357636456 0.398212807 0.1604079672 0.3498977091 0.2685966075 0 0.3697717232 0.2738772989 0.1898563473 0 0.4436348724 0.3363910146 0.3889090887 0.2809937856 0.3916644662 0.2858114034 0.4005166168 0.1949647278 0.3760267994 0.3081958875
0.3485173593 0.3463479673 0.2400474315 0.2410589183 0.0130385044 0.0356868991 0.242432304 0.2784540719 0.3046775661 0.2072533678 0.4645949295 0.1654432551 0.4617476784 0.3449835425 0.3826302981 0.2396319351 0.403938066 0.1055876308 0.3970129548 0.2679467986 0.3996683483 0.3728377888 0.087791037 0.0435035332 0.3961129469 0.3008215924 0.4387988531 0.4532883602 0.3830731729 0.3408968861 0.3657027403 0.4051761166 0.2260937516 0.3479441309 0.2701050814 0 0.3843754366 0.2732087123 0.1976464874 0.1081929437 0.4381916156 0.3501681702 0.401703207 0.2809937856 0.3934881056 0.3027193674 0.3962249507 0.1947255791 0.3774875977 0.3155320092
0.3513978323 0.3205568913 0.2400491512 0.2395748177 0.0132232749 0.0355733148 0.3164038051 0.2898079091 0.3222493798 0.1980987436 0.4655443312 0.1687715031 0.4585449154 0.3740550763 0.3933726783 0.2423594945 0.4089883562 0.0986031979 0.3973947236 0.3191088824 0.4022096968 0.3705166227 0.0879601819 0.0435250607 0.3953415397 0.2686308795 0.4432119421 0.4557961863 0.3743519675 0.3672075395 0.3650318703 0.3919812568 0.2601684131 0.3455621865 0.2750781247 0 0.3856819658 0.2704809387 0.1963232571 0.0272125118 0.448507462 0.369385376 0.4193570238 0.2753365262 0.4047891096 0.2995243254 0.3967013093 0.1913787366 0.3828945621 0.3163735565
0.3531996579 0.3388108792 0.2377393206 0.2713152933 0.0132606317 0.0355733148 0.3369320766 0.2925526604 0.3229912904 0.1980987436 0.4730067487 0.1921125242 0.4640549714 0.3983591172 0.3980707847 0.2434162845 0.4099573928 0.0988892017 0.4092709513 0.3482844108 0.4070970466 0.3705166227 0.0904094842 0.0435250607 0.3946629146 0.2490544616 0.4444510836 0.4570375762 0.3833253347 0.3791534438 0.3660134916 0.3914418223 0.2605625717 0.3424828883 0.2750781247 0 0.388890652 0.2704928946 0.2177551302 0.0504935426 0.4426035605 0.3714402912 0.4164386633 0.2790779516 0.4049281476 0.3085274888 0.4065404581 0.2003155385 0.3836450968 0.3167365532
0.3551447177 0.3345473031 0.2513713534 0.2932185388 0.0026635887 0.0355733148 0.3484187216 0.286229227 0.3230706746 0.1980987436 0.4739169843 0.1922705361 0.4738135553 0.4108724968 0.396080466 0.2434162845 0.4197454172 0.159985314 0.4096290903 0.3509859736 0.4084826004 0.3706631688 0.0921101656 0.0300943057 0.402392173 0.2672278137 0.4428554385 0.4579752441 0.383661119 0.368295323 0.3609385198 0.3913584958 0.2769163462 0.3563084125 0.2825076937 0 0.3904328079 0.2705012044 0.2177557783 0.0514964137 0.3774072294 0.3827412345 0.4268313702 0.2790687898 0.4085740515 0.3081900522 0.4065026965 0.1949963764 0.392078303 0.3157649083
