X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3752474863 0.3013930389 0.3546366157 0.286978999 0.3375896157 0.3497195614 0.3205228361 0.2556975435 0.3310145437 0.3325084929 0.3172180112 0.282129976 0.3133699015 0.3523871498 0.3308403489 0.3737689246 0.3586270718 0.2963954722 0.3202874369 0.286712813 0.358082976 0.3153425243 0.3265036029 0.2844968652 0.3492590048 0.3295263516 0.3136690161 0.2630683337 0.3717474731 0.1972057373 0.3598694012 0.3067776936 0.2816152152 0.3238372458 0.3421690083 0.3151683706 0.3416704995 0.3671725598 0.3596516736 0.2211489917 0.3327615223 0.3274141925 0.3653756443 0.3181064558 0.3513710166 0.3016423603 0.3612740856 0.2643766437 0.3575619689 0.3588698728
0.4223410795 0.3864751867 0.4118933868 0.3734550772 0.3982148178 0.3926194383 0.3960216999 0.3790030934 0.4142266749 0.3633266087 0.3800097909 0.3439970499 0.3858932335 0.4241873894 0.3957089132 0.4211363766 0.4040720046 0.3727179845 0.3771211652 0.3735643151 0.4010644786 0.3444069183 0.3929423551 0.3497479224 0.3909161115 0.3969437336 0.3788523455 0.3516961281 0.3991431507 0.3432251085 0.4103075749 0.3599487087 0.3458275804 0.4064508422 0.4179059257 0.3696839172 0.3872268742 0.408353192 0.4109418708 0.3340758351 0.3939288014 0.3744100253 0.4266716509 0.3980876169 0.3891464251 0.3614340421 0.4177520616 0.3885360602 0.4083232155 0.4101987807
0.4210148731 0.4053912247 0.4252883421 0.3996271695 0.4331241556 0.4040602001 0.4244950934 0.4197625156 0.4461419373 0.3849900437 0.4158674897 0.3908367591 0.4060312129 0.440799021 0.3983060287 0.4458314305 0.419086078 0.4118366906 0.4210592268 0.4071565131 0.4174608977 0.3757159485 0.4115171241 0.3919422221 0.4089517384 0.4485174539 0.4263550221 0.4077680971 0.4249636857 0.3713634552 0.4281525735 0.3919511898 0.385299245 0.4329541371 0.430829707 0.4002848582 0.3947744305 0.4309187005 0.4324930114 0.3775339757 0.4209647167 0.4040573429 0.4437828376 0.4171982587 0.4028069371 0.3820642129 0.437223524 0.4385295967 0.4306002489 0.4456782471
0.4328227353 0.4150930446 0.4367767167 0.4125204412 0.4490012838 0.4136105668 0.4361100484 0.4131819973 0.4551491387 0.4050753357 0.4360873575 0.409820735 0.4310427457 0.4434796956 0.4009606048 0.4462319291 0.4344571043 0.4165396897 0.4381816703 0.4231157644 0.4381360978 0.3987242927 0.4241609157 0.4215205751 0.4212408553 0.4555460677 0.4263166074 0.4169453235 0.420505477 0.3963074222 0.4408204628 0.3894407549 0.410586015 0.4429984107 0.4386041315 0.4406165806 0.4095742855 0.4397316461 0.4350316019 0.3915307487 0.440662125 0.4205083143 0.4545318114 0.4274681405 0.4182714195 0.3972037377 0.4451278958 0.4464740188 0.4429785305 0.4455768294
0.4402224017 0.4374418845 0.4491212582 0.4176787186 0.4560722106 0.425350956 0.4383249486 0.4247424066 0.4636267231 0.413486078 0.4374614571 0.4172219579 0.4329626973 0.4477110747 0.3957133146 0.4433296263 0.4406515664 0.4207076925 0.4471222925 0.438382917 0.4314499291 0.4152033441 0.4255383997 0.4327574229 0.4405492499 0.4491063001 0.4385055649 0.4217288967 0.4358786951 0.4125768396 0.4541996742 0.3996993932 0.4092788982 0.448960211 0.4380542705 0.4350066498 0.4271013099 0.4428097697 0.432380014 0.393001743 0.4293340423 0.429324952 0.4483766102 0.4364546504 0.4255670276 0.4013243542 0.446803918 0.4474700081 0.4514386156 0.4555955606
0.4486158843 0.4407234092 0.460843074 0.4193703681 0.4529280149 0.4262870517 0.4496614776 0.4288402729 0.4675345708 0.4417604766 0.4415698448 0.4217094363 0.444550309 0.4501801984 0.4007319146 0.452310459 0.4474613422 0.4179813076 0.4573150375 0.4456277187 0.4325644897 0.4287851742 0.4381223512 0.4468582312 0.4494239292 0.4535440879 0.4351212435 0.4269428936 0.4376931713 0.4262243694 0.4495762263 0.4076790886 0.4063972679 0.4500824401 0.4444871817 0.4484224255 0.4398182607 0.4412329308 0.4405306446 0.394300204 0.4378470398 0.4316758905 0.4527532285 0.4400935259 0.4253044641 0.4184813099 0.4558808408 0.4508212685 0.4488556065 0.4486462704
0.4514001346 0.4364724023 0.4603199537 0.4109661954 0.4477438501 0.4257268503 0.4451593883 0.4269016497 0.4680826582 0.4413727211 0.4413954911 0.4146419891 0.4416046894 0.4530700706 0.4103030287 0.4394792632 0.4525729308 0.4190105883 0.4582205306 0.4441061024 0.4340366323 0.4320909024 0.4405976438 0.4508915514 0.4428356128 0.4568742772 0.4343189285 0.4288242515 0.4383720566 0.4261514666 0.4553124457 0.4144879835 0.3959058532 0.4520847438 0.4430844832 0.4337121292 0.4485170451 0.4463455784 0.4314900491 0.4135273473 0.4463923473 0.4370882015 0.4491853418 0.442073411 0.4206118328 0.421875828 0.4469802118 0.4606601602 0.4492333517 0.4470569678
0.4572409454 0.4401261843 0.4537526997 0.4193593778 0.4619049234 0.4248919165 0.458497607 0.4240949849 0.4664905502 0.4509200977 0.4409721258 0.406496595 0.4471233242 0.455104784 0.4165609739 0.4453111758 0.4561541393 0.4280749224 0.4720202716 0.4429108632 0.4364254858 0.4410705553 0.4351921093 0.4589698149 0.4529433594 0.4472842939 0.4376908662 0.4291610851 0.443520334 0.4397673823 0.4505842634 0.4151311917 0.4019981436 0.4574719921 0.4516263 0.4390023763 0.4509642923 0.4510802866 0.4383514087 0.4195354241 0.4439768001 0.4415410982 0.453292392 0.4418765388 0.4252137271 0.4314119295 0.4524816235 0.465132804 0.4560531567 0.4419778852
0.4599630008 0.4426969941 0.4395126325 0.4270978254 0.4586512021 0.4196921664 0.4608642281 0.4365796516 0.4663318619 0.4515797908 0.441504933 0.4123582724 0.4445206027 0.4561062514 0.4202593403 0.4468239558 0.46258428 0.4206463529 0.4697850701 0.4435388146 0.4464343065 0.4428636226 0.4423168412 0.4562764266 0.4595514124 0.4533990123 0.4369363664 0.4409650379 0.4472077351 0.4402393554 0.4533629012 0.4242649636 0.3898899789 0.4607107979 0.4497301738 0.4411469603 0.4565520629 0.4467767997 0.4403987067 0.4308062158 0.4396158797 0.4386553629 0.4519101733 0.4412632298 0.4267388265 0.4318025339 0.4491032428 0.4644425487 0.453623887 0.4415711345
