X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.2436028089 0.250853338 0.3023525275 0.2957942543 0.239421451 0.2927138834 0.3141922793 0.2889272419 0.3243786352 0.3043915936 0.2845052852 0.2636008528 0.2859026744 0.2929327562 0.3215781293 0.2894684874 0.3036954959 0.2395202316 0.3005821865 0.2827946237 0.2538427906 0.3108899142 0.3059826188 0.251209014 0.3312000887 0.3115490715 0.2395920937 0.2170112362 0.2790983374 0.2761499801 0.2815139041 0.252818447 0.2729457043 0.3136075725 0.2865295367 0.2579724161 0.262993322 0.3488005829 0.2304688601 0.276990758 0.2812528279 0.2340495629 0.2872351168 0.3101556758 0.3393671042 0.3032996624 0.3192486144 0.298418276 0.3214509453 0.3002613717
0.2984883003 0.3390194103 0.3723181854 0.3830656558 0.3690604908 0.3668856242 0.3998216841 0.376072813 0.3795464033 0.3564844206 0.3709821917 0.3183166549 0.3716205402 0.3948210789 0.3868722424 0.3752463298 0.3815102739 0.3407516512 0.3876608708 0.3637851441 0.320648562 0.3570317642 0.3869838394 0.3153686409 0.3934154718 0.3905314714 0.3704307642 0.3845770904 0.3523193992 0.3624759355 0.3603153921 0.3524642536 0.3911047483 0.3537104726 0.350256117 0.3108582777 0.3602162832 0.394983017 0.3244920363 0.3603927266 0.3535892566 0.3285041127 0.3723449454 0.3683756008 0.403856254 0.3817918395 0.4000487593 0.3742953133 0.3698831047 0.3768798903
0.3463169721 0.373258159 0.3978163673 0.4015393859 0.3949907584 0.3924996733 0.4148547959 0.4230440696 0.4061660776 0.3970895542 0.4179684755 0.353646533 0.400819101 0.4213736087 0.404226528 0.4065902648 0.4196031477 0.3525632545 0.4168830382 0.4107288334 0.3766093046 0.3784698467 0.4082243336 0.3874777191 0.4138271101 0.4223341188 0.3889926407 0.4074566567 0.384543994 0.3947221739 0.3725151382 0.3901442809 0.4158748103 0.3833027586 0.3892519823 0.374997676 0.3910771147 0.4187900714 0.3524500373 0.3858818664 0.3817409955 0.3870645612 0.4037670942 0.3868328621 0.4124291807 0.4079088858 0.4233979663 0.3881986639 0.3962962599 0.3884694219
0.3773107966 0.3818652009 0.4140733931 0.4128726347 0.4067462495 0.4046594758 0.4276140613 0.4188076297 0.423120353 0.4204932644 0.4321960589 0.3844028592 0.4159938179 0.4180028157 0.4099509351 0.4224905803 0.4336101806 0.3790783742 0.4317938391 0.4214547167 0.4069849304 0.3955938595 0.4269064857 0.4163543032 0.4318094737 0.441180031 0.403638471 0.4208479381 0.3984097828 0.4193353514 0.3969903684 0.3980293153 0.4347681824 0.3943813519 0.3931802524 0.3998211255 0.4174623679 0.4217345016 0.372998758 0.3973059489 0.4112491821 0.3994418047 0.42453285 0.3886080868 0.4252932639 0.4179733833 0.4213736986 0.3941459753 0.4080293412 0.3764728563
0.399952291 0.3882334513 0.4231501722 0.4131783465 0.4138583386 0.4063791308 0.4270273051 0.4232002485 0.4247123441 0.4296411416 0.4271817139 0.407466837 0.426293287 0.4169250107 0.4167620346 0.4370129634 0.4183430191 0.3897123324 0.4278423203 0.4336288035 0.3999436089 0.4082682635 0.4185491087 0.434293828 0.4373035404 0.4440734416 0.4059627595 0.427660603 0.4164782959 0.4267745701 0.4222266364 0.3983681746 0.4298985485 0.3882423468 0.4059936747 0.3875992174 0.4196272651 0.4222281918 0.386856401 0.4046322078 0.4157637112 0.404728504 0.4356863994 0.3959192752 0.4299208181 0.4220310943 0.4308015645 0.398368301 0.4107408028 0.380158229
0.4066522646 0.3835342134 0.4232461022 0.4049849834 0.4056564618 0.4177587739 0.4338783224 0.4216804362 0.4354977969 0.4290621403 0.4146908534 0.4118258082 0.4020613839 0.4167276529 0.420716097 0.4480011402 0.4193332487 0.4018956017 0.4050951754 0.4332609286 0.4022093082 0.4129185256 0.4278008369 0.4258515985 0.4333069432 0.4449002085 0.4030477515 0.4323940719 0.417339194 0.4236324479 0.4062717786 0.3934827931 0.430165948 0.3871519511 0.4043450527 0.3811307976 0.4026208666 0.4234218872 0.394089047 0.4045712013 0.4195628469 0.4062130391 0.4405305995 0.3942093736 0.4276114186 0.424872017 0.4140587496 0.387322262 0.411217694 0.3791139419
0.4073685183 0.377303404 0.423852983 0.3984843184 0.4088813526 0.4138009505 0.4271339507 0.4108717445 0.417448677 0.4315920462 0.4179894102 0.4038657905 0.4015097489 0.4185425818 0.4236134485 0.4292567826 0.423146006 0.4031573772 0.408892658 0.4134269104 0.4052219492 0.4081244358 0.4334762675 0.429515406 0.418337187 0.4394655152 0.4046865362 0.4357756175 0.4170530838 0.4178416851 0.3759226249 0.3760325914 0.4277740309 0.3805694394 0.4055937877 0.3689151991 0.4051678323 0.3977507908 0.3969128736 0.4044733512 0.4214224117 0.4085706903 0.4361971348 0.3944338469 0.4114897651 0.4414589547 0.3924450474 0.4116037516 0.4120671585 0.4286447716
0.4154575335 0.3519174594 0.4151417124 0.374271177 0.4051117482 0.412352843 0.4210178195 0.4249814223 0.4298124399 0.4327765058 0.3919507157 0.4069738138 0.4159462131 0.4074779654 0.4039845947 0.4364511749 0.4035127596 0.3998155739 0.3326294156 0.3833695144 0.3536296361 0.408186958 0.4158047813 0.4284758535 0.4141303329 0.4128794688 0.4039196077 0.4384932623 0.4161976273 0.4286681707 0.3536220522 0.3984727934 0.403098038 0.3742204063 0.3976655084 0.3954854479 0.4075666038 0.4109694109 0.3947221348 0.4160575509 0.4151514886 0.4074980873 0.4243880366 0.3955372224 0.3976136507 0.3685956557 0.3664340543 0.3798124958 0.4080059413 0.3897660883
0.3999080675 0.3104801776 0.4153526461 0.3949780584 0.414441139 0.4086750892 0.3942718101 0.4227455207 0.4281595725 0.4403320258 0.3879392259 0.4069232087 0.3579703022 0.4008251657 0.4004234778 0.4276769186 0.3816310804 0.3989879205 0.4040858056 0.4157771952 0.281261838 0.4070740135 0.3914817313 0.3601994239 0.3810730755 0.3933430057 0.4048636725 0.4383206727 0.3940022113 0.4267625933 0.3291079761 0.4120869122 0.3952526758 0.4009904676 0.4147509177 0.402020339 0.3958480024 0.4053494419 0.4054251497 0.3790491195 0.3891310259 0.4116441434 0.4184047467 0.3743849534 0.3713984238 0.4001974722 0.3082185739 0.3778409089 0.404536999 0.3973927872
0.3967978017 0.3314763226 0.4183558102 0.3750856969 0.4117259937 0.4037598527 0.3993392983 0.4249441568 0.4099725455 0.437666278 0.4124087203 0.4136530309 0.3649231135 0.3632282862 0.3724464263 0.3719982315 0.4256448404 0.3945535053 0.3629986338 0.4124280055 0.3220402465 0.3876759939 0.3901989688 0.3682387298 0.3939940333 0.3935218197 0.4109514467 0.4401009557 0.3943896169 0.4074344102 0.3625163585 0.3805319227 0.3879700808 0.3658675569 0.3431027614 0.4146448859 0.390142866 0.4038256241 0.3958164709 0.3822149816 0.3728592953 0.3461003423 0.4143385873 0.3631628403 0.4088406881 0.410385416 0.4073044595 0.3510171649 0.4040723464 0.4157920491
0.3958675356 0.3230827495 0.4284277621 0.4023871825 0.3925831092 0.396945443 0.3834680629 0.3975101198 0.4121790839 0.4308915093 0.3831580518 0.4102126718 0.3514209967 0.4191217405 0.3555803493 0.3905483676 0.3968648437 0.3864632959 0.3274462251 0.4136622304 0.3487634351 0.4132094257 0.3960081668 0.3850487239 0.3933218845 0.3813457227 0.3975648415 0.4391473187 0.3662531541 0.4126443537 0.3937290189 0.3912528744 0.4070478343 0.3606231462 0.3049402353 0.374661526 0.3913847535 0.4039483136 0.3764537329 0.3889597895 0.3732328985 0.3423873552 0.3871278441 0.335404962 0.3322893917 0.4111636989 0.4045177183 0.3755776781 0.3923096301 0.4056421098
0.3954921762 0.369991062 0.4292610193 0.4132655872 0.3795393341 0.3826652303 0.4101403612 0.3658343343 0.4175942773 0.4141056568 0.3786959393 0.4074800992 0.3447766718 0.412310948 0.3575145821 0.3714040962 0.4112493913 0.378721115 0.3884334913 0.4189298201 0.367521662 0.4086422221 0.3650669625 0.3929310002 0.3526656782 0.3667293961 0.3983197112 0.4433899287 0.4011582104 0.4124020461 0.3845031507 0.3927346291 0.3927001206 0.3780633602 0.3034766129 0.3787058601 0.3960294799 0.3230521458 0.3830145122 0.388718321 0.3785878561 0.3550295357 0.3893912936 0.3327974069 0.3846092072 0.394720697 0.413553888 0.3744747863 0.3754414246 0.4136003262
0.3783869233 0.3761217687 0.4237896192 0.4044837988 0.3982349293 0.3836204698 0.3967486621 0.4006677861 0.3918983371 0.4114974824 0.3967822249 0.4159883734 0.375341642 0.4029820621 0.3948601544 0.3728884493 0.4002122961 0.3810440017 0.4104786402 0.4145596669 0.3764596527 0.4098361213 0.4017227086 0.3712158182 0.3883791889 0.3469371602 0.3870020862 0.4414179249 0.3915576765 0.399049585 0.3903311573 0.4143094306 0.3159657939 0.3415588031 0.351682643 0.389262249 0.377588503 0.3044563342 0.3983034156 0.4007159396 0.3757042942 0.3294466421 0.3743728794 0.3555571689 0.4023280516 0.4130029943 0.3880661346 0.3394760376 0.4072529048 0.4218337861
0.3956526617 0.3777194861 0.3986309987 0.3976429364 0.38676021 0.376796626 0.3689581739 0.4182949832 0.3807291376 0.4015157064 0.3416947713 0.424010142 0.4001943719 0.3855714224 0.4056100793 0.3645905878 0.4037623124 0.3810477056 0.4015718325 0.4173856387 0.3200696403 0.3597672015 0.3838638701 0.406219831 0.3875171002 0.406259704 0.3874573243 0.4499290402 0.3927458531 0.3922995212 0.3496090321 0.3744933619 0.3863951641 0.3591493595 0.3442428498 0.4028188911 0.3581713534 0.3416088634 0.387304295 0.3651796931 0.3217113716 0.2848002922 0.3512180189 0.3739404445 0.3025011263 0.412509074 0.3896874102 0.3682823651 0.3706411905 0.3632172288
0.3804144108 0.3570538159 0.3791809512 0.3921881276 0.3522364185 0.2728433626 0.3863355281 0.347816759 0.3794002329 0.4190479985 0.3522026783 0.4260671997 0.3720136091 0.3979914338 0.3899818152 0.3641558407 0.3927382688 0.3751732434 0.3852495635 0.4018151714 0.3640673011 0.3797850408 0.3566834345 0.4086629906 0.3549943473 0.3005906091 0.3324130572 0.446191242 0.3972221708 0.3919796113 0.3880643168 0.3801367248 0.3917385962 0.393425287 0.3032779946 0.4137556977 0.3898576513 0.2812452299 0.3793520915 0.3614387761 0.3760363983 0.3521819707 0.3528540669 0.3323598867 0.3597312883 0.4173399943 0.3766623956 0.3768322051 0.3797053261 0.389165873
0.3754812166 0.406463992 0.3918856662 0.4063168193 0.3564857015 0.2702678699 0.3541980399 0.3920301264 0.3854576578 0.3919422392 0.3475596679 0.3914285672 0.3756059506 0.3920935781 0.4120731241 0.3804428779 0.3956893574 0.3465272716 0.3916879491 0.3776378031 0.3879416721 0.400746669 0.3488730766 0.371871863 0.3718146736 0.3696409424 0.3919367393 0.4398006972 0.3928778834 0.3995747989 0.3608612825 0.3707525338 0.4014659202 0.3994250232 0.3213897916 0.4178217854 0.3991154889 0.3331684519 0.3325032234 0.3663868803 0.3664166348 0.32455678 0.3942600136 0.2757749266 0.3470306741 0.415899535 0.4100190509 0.3813828995 0.3606849733 0.3804086514
0.3874509934 0.4067985265 0.3881605896 0.3894399925 0.372858851 0.3119257089 0.3458479631 0.3787390598 0.3886989757 0.378244582 0.3949981857 0.4105846503 0.3501037113 0.3903472975 0.4011599938 0.3544539815 0.4162429727 0.3414127513 0.325426734 0.3175687109 0.3808092091 0.3663333956 0.3755506645 0.3122141186 0.384533919 0.3833592294 0.3952555249 0.4335044722 0.4123078546 0.4227019946 0.3572376132 0.3668810723 0.3852151386 0.3805798638 0.3505929995 0.4133301647 0.4090104477 0.3694161278 0.3771313898 0.3692414653 0.3580804501 0.3035067563 0.3326087354 0.3193385696 0.3504615378 0.4067932451 0.3914944299 0.3704069902 0.3413313542 0.3502932882
0.3782621977 0.3773035839 0.3612614155 0.3750129151 0.3781304485 0.2684695121 0.3985451154 0.3977726625 0.3599308272 0.4025440756 0.3858738067 0.4224795117 0.3474279653 0.3979585225 0.4117302778 0.391370087 0.4179049126 0.2759118627 0.3880749618 0.3741135823 0.3869852415 0.374362308 0.3587588762 0.2618476571 0.4080491451 0.3547458121 0.3643360351 0.4240099653 0.4029978981 0.4135273267 0.3925201441 0.2438953556 0.3892491189 0.3999687382 0.3079078694 0.392527896 0.4014469046 0.3799836189 0.3865130582 0.3082491845 0.3348943166 0.3509117752 0.3857152836 0.3131687415 0.3572571001 0.3937331031 0.3971027033 0.2982070749 0.3604071022 0.4038395821
0.3410158707 0.4102195971 0.3551607476 0.3435177903 0.3826130801 0.3029285627 0.3995801705 0.4024558298 0.38775504 0.3256194313 0.3934503244 0.4006777081 0.3936318302 0.3918397158 0.390290181 0.3549580938 0.3618798974 0.3268978444 0.3904605594 0.3399772724 0.3930601719 0.3348661049 0.3671451752 0.3715512279 0.4067978515 0.3856973217 0.3668005632 0.4075847321 0.3940344509 0.4038964837 0.2897925995 0.3687782762 0.3666773956 0.3513446815 0.2702131995 0.3554810655 0.4097691182 0.3694842938 0.3737401493 0.3174050143 0.3472049397 0.3619890942 0.4002524027 0.3120524768 0.3649266349 0.4020423167 0.4103340984 0.3681898102 0.3787218813 0.3758046501
0.3869232859 0.4005094256 0.3783802594 0.3684830826 0.3705084995 0.3522990926 0.3729958165 0.3729025135 0.3882555206 0.3980522652 0.3769982642 0.4283210396 0.3869938514 0.3393415504 0.4322894885 0.4105144402 0.3975798615 0.3291794248 0.4292254471 0.3842816502 0.397331655 0.3203769179 0.3730776306 0.3016103242 0.4108025036 0.4065147124 0.3421204945 0.4253582201 0.4079628074 0.3881391662 0.2281526061 0.324428755 0.3807957852 0.3752371509 0.353919494 0.3861530499 0.3737322069 0.3272768288 0.3532961048 0.3363661417 0.2922918812 0.3050251179 0.3678678715 0.3621002568 0.3528080663 0.3892001112 0.3872716553 0.3803708865 0.4078623216 0.4198098214
0.3328179411 0.4003964833 0.3842455943 0.3842911711 0.3773185721 0.3407173151 0.3308121446 0.4217271941 0.3914504478 0.4065044795 0.3763265484 0.4226141574 0.413565177 0.3955547652 0.4083063824 0.3783288977 0.4049626388 0.3124092584 0.3878256726 0.3690885401 0.4021600577 0.244005844 0.3870644519 0.3638672443 0.4152978277 0.4061199137 0.3685128085 0.4081104198 0.3675675762 0.3937400984 0.3213695486 0.325086857 0.4052142508 0.353749258 0.3406376907 0.4121039549 0.3974240918 0.3841977447 0.3509833313 0.2597329178 0.3784295796 0.2903870433 0.4068753773 0.3230867134 0.4077720845 0.396217846 0.3532442357 0.3500606719 0.3854229981 0.4068239421
0.3558111994 0.385992866 0.4160424033 0.3298488498 0.336929921 0.3460888472 0.293336703 0.4038054962 0.4045523495 0.3640671612 0.3128910822 0.4203720067 0.4164136344 0.4089585096 0.3955617877 0.3862288903 0.3873825167 0.3182335479 0.4149079773 0.3549284246 0.4069645084 0.3671419657 0.3924996297 0.3784314725 0.4181601948 0.4090946422 0.3583994077 0.4133526831 0.3826053517 0.407750163 0.3611783534 0.335252222 0.3492134962 0.4104611289 0.2858075621 0.406658457 0.3981686245 0.401089855 0.308184619 0.3410991255 0.3795945752 0.3187358067 0.3869355028 0.3321848787 0.4119039791 0.4059777951 0.3695110636 0.3797900162 0.3946952715 0.417219445
