X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.1495287735 0.2602504217 0.2704045675 0 0.2623908924 0.1694959874 0.1757165659 0.0772094737 0.2038156033 0.2251751768 0 0.1921883405 0.225290828 0.2999779548 0.2437513463 0.1564193341 0.1572831242 0.041794426 0.1013408723 0.1725115904 0.1956840645 0.1312185693 0.2374796491 0.2090787738 0.2106718078 0.2200508681 0.2730435072 0.0483677963 0.173384126 0.1185355738 0.2742979596 0.1153507051 0.1286013623 0.1875875733 0.321662383 0.2168315235 0.2637689261 0.0959480689 0.2230421986 0.0611765616 0.1725670759 0.0466623169 0.2311023701 0.123156743 0.1094745719 0.1663113008 0 0.2688647605 0.288883562 0.2525849615
0.0646608903 0.1545065856 0.0025372387 0.0547036945 0.0004358241 0.1045104875 0.0905620561 0.2055569807 0.0974785299 0.0723587679 0.1344662063 0.2269964333 0.0393397121 0.2504909401 0.0463375413 0.1161968112 0.0705337505 0.2035724712 0.1161122791 0.1365682062 0.1078367459 0.1171003964 0.0453799505 0.1191588495 0.0929174619 0.0620193279 0.1172395918 0.0628045679 0.0626882178 0.0731142068 0.1524917527 0.0506992433 0.0241343709 0.0631723963 0.0404271608 0.0267317344 0.0464678435 0.06994462 0.0064219918 0.0966918378 0.2126849213 0.1805943871 0.0068547824 0.0545913163 0.0537083279 0.0589623519 0.0031014531 0.0733336448 0.0521985975 0.0446512802
0.0646608903 0.1731415797 0.0025372387 0.0103442265 0.0874691901 0.2747747766 0.0421825087 0.1243229004 0.0740462398 0.1050731795 0.2481560355 0.0032741984 0.0817117039 0.0528563839 0.0302209004 0.2700364521 0.1351310157 0.1661800717 0.0845870345 0.2415108675 0.0137301736 0.0142442072 0.2339666009 0.23527493 0.0903312885 0.2549300565 0.1036391442 0.0392280375 0.1639804549 0.1799843766 0.1770864135 0.1247557553 0 0.0294894089 0.1431717242 0.1481327268 0.0873272321 0.06994462 0.0064219918 0.0995210365 0.0843093048 0.1891033014 0.0434370288 0.2373305834 0.3234832062 0.1684520346 0.0033403992 0.0466056508 0.0987829545 0.0535361752
0.3462334773 0.3090523962 0.3423198044 0.3468682958 0.3210519637 0.3516918322 0.3213586542 0.3563879495 0.359285953 0.3580018861 0.3026995599 0.2960509993 0.3402641405 0.3419320446 0.3017367278 0.3076461707 0.2910152428 0.3317356409 0.3549373614 0.3498988885 0.3198148452 0.3714784502 0.3542961762 0.2955388476 0.3400772484 0.384869816 0.2630676987 0.3759010075 0.3387686435 0.336584101 0.3181057218 0.314223551 0.3373400945 0.3973632038 0.3034150536 0.3553036921 0.3534324654 0.3140076034 0.3218945612 0.2601474389 0.3519091237 0.3488632259 0.3292951151 0.3557443018 0.3504861163 0.3539795932 0.3109411116 0.267243425 0.3674706871 0.3594982329
0.3677573745 0.3124928927 0.3690716969 0.3416262463 0.3560702208 0.387551673 0.350120369 0.3676349602 0.3709242459 0.3767500989 0.3059341644 0.3669760914 0.3719556673 0.3773831115 0.3239025419 0.3449236076 0.2850864661 0.3342099683 0.3768694924 0.3543572833 0.3808578465 0.3762621018 0.370664186 0.3151737359 0.3496001583 0.3858301819 0.2749894876 0.3798607243 0.3767876522 0.3864098199 0.3473494389 0.3419685717 0.3890086707 0.3483083204 0.3213398411 0.370817505 0.3113988221 0.3278239012 0.3623539147 0.3330404182 0.3496224003 0.3514178107 0.3298478884 0.3532661978 0.3600893516 0.3370969934 0.3268037845 0.3444001925 0.3687142895 0.3633934733
0.3576558825 0.3147594008 0.3748295613 0.3518425455 0.3393251456 0.361262684 0.340284092 0.3777632001 0.3771076384 0.3636333854 0.3279992876 0.3347407669 0.3637143279 0.371439121 0.3299319703 0.3444329893 0.2934828045 0.3440233067 0.3752778451 0.3610540339 0.3930413032 0.3756569043 0.3909978354 0.3403551616 0.3404096068 0.385949974 0.3165026872 0.3405089134 0.3910836531 0.380837447 0.3805174615 0.3252824648 0.3423194706 0.3999961899 0.3607947359 0.3635493405 0.3258933378 0.3298275075 0.3526065267 0.341583229 0.3503829628 0.3843551593 0.3231460463 0.3741014473 0.3658697733 0.3572991781 0.368054333 0.3406868468 0.3835973734 0.3471115246
0.3726081147 0.3542860324 0.3792856033 0.3694735819 0.3589473986 0.3755330615 0.3573884591 0.4020362688 0.3411752723 0.3768786586 0.3540781919 0.3441627071 0.3631481058 0.3690639236 0.3399336862 0.3385097196 0.2784137938 0.3659491535 0.3791084834 0.3918909171 0.3885984986 0.3791268545 0.3922789193 0.3345014862 0.3806547812 0.3870175299 0.3314814267 0.3566570301 0.3902330311 0.3603379547 0.3705732833 0.3801032558 0.3662687127 0.4076520542 0.3628593867 0.3727723177 0.357743351 0.340520102 0.3667632772 0.3475320662 0.3530065774 0.382961744 0.3581565303 0.3652411695 0.3759654166 0.3667513583 0.3434981076 0.35030856 0.3931528012 0.3457537726
0.3856189773 0.3660919405 0.3733819439 0.371682485 0.3673386276 0.3777164739 0.3489837516 0.385042655 0.3515319787 0.3712791431 0.3583465095 0.3647585086 0.3550312076 0.3694600695 0.3428060366 0.3592598461 0.3073882172 0.3591906139 0.3839521193 0.3783550034 0.4011546532 0.3796496289 0.3810336758 0.3362074622 0.3817235053 0.3886615407 0.3456193943 0.3589467199 0.389772828 0.3714988718 0.3942923197 0.3858531943 0.3384954516 0.3535742721 0.3617565272 0.3426551755 0.3654434299 0.348083638 0.3775159968 0.3579511133 0.3907740255 0.3873300008 0.3648279473 0.3573178575 0.4073826896 0.367950065 0.3459861406 0.3358658461 0.3955940576 0.3892089281
0.3814837993 0.3700119032 0.4057614122 0.3812603589 0.3660662102 0.3878799173 0.3761203269 0.3904299583 0.377065057 0.3583338551 0.346539603 0.3380300073 0.3517806985 0.3755835286 0.3683836172 0.3660595154 0.3203633516 0.3575701483 0.4017582038 0.3640890853 0.3911813887 0.3780028006 0.3847566289 0.357465002 0.3593338407 0.3777110608 0.3686691566 0.3576181055 0.3566646555 0.3927493369 0.3914386503 0.4028671869 0.3711729306 0.3735996844 0.3676176288 0.3729868394 0.3654748273 0.3512526317 0.3535447045 0.3684598361 0.3498169582 0.3590011934 0.3919050594 0.3992670107 0.4014165113 0.3803773627 0.3453657748 0.3597135553 0.3877464431 0.384022409
